Longitude	Latitude	Mean_HF	Median_HF	Total_Erro
25	-83	65	65	41.5
27	-83	65	65	41.5
29	-83	65	65	41.5
31	-83	65	65	41.5
33	-83	65	65	41.5
35	-83	65	65	41.5
37	-83	65	65	41.5
39	-83	65	65	41.5
41	-83	65	65	41.5
43	-83	65	65	41.5
45	-83	65	65	41.5
47	-83	65	65	41.5
49	-83	65	65	41.5
51	-83	65	65	41.5
53	-83	65	65	41.5
55	-83	65	65	41.5
57	-83	65	65	41.5
59	-83	65	65	41.5
61	-83	65	65	41.5
63	-83	65	65	41.5
65	-83	65	65	41.5
67	-83	65	65	41.5
69	-83	65	65	41.5
71	-83	65	65	41.5
73	-83	65	65	41.5
75	-83	65	65	41.5
77	-83	65	65	41.5
79	-83	65	65	41.5
81	-83	65	65	41.5
83	-83	65	65	41.5
85	-83	65	65	41.5
87	-83	65	65	41.5
89	-83	65	65	41.5
91	-83	65	65	41.5
93	-83	65	65	41.5
95	-83	65	65	41.5
97	-83	65	65	41.5
99	-83	65	65	41.5
101	-83	65	65	41.5
103	-83	65	65	41.5
105	-83	65	65	41.5
107	-83	65	65	41.5
109	-83	65	65	41.5
111	-83	65	65	41.5
113	-83	65	65	41.5
115	-83	65	65	41.5
117	-83	65	65	41.5
119	-83	65	65	41.5
121	-83	65	65	41.5
123	-83	65	65	41.5
125	-83	65	65	41.5
127	-83	65	65	41.5
129	-83	65	65	41.5
131	-83	65	65	41.5
133	-83	65	65	41.5
135	-83	65	65	41.5
137	-83	65	65	41.5
139	-83	65	65	41.5
141	-83	65	65	41.5
143	-83	65	65	41.5
145	-83	65	65	41.5
147	-83	65	65	41.5
149	-83	65	65	41.5
151	-83	65	65	41.5
153	-83	65	65	41.5
155	-83	65	65	41.5
157	-83	65	65	41.5
159	-83	65	65	41.5
161	-83	65	65	41.5
163	-83	65	65	41.5
165	-83	65	65	41.5
167	-83	65	65	41.5
169	-83	65	65	41.5
171	-83	65	65	41.5
173	-83	65	65	41.5
175	-83	65	65	41.5
177	-83	65	65	41.5
179	-83	65	65	41.5
-179	-81	100	100	41.5
-177	-81	100	100	41.5
-175	-81	100	100	41.5
-173	-81	100	100	41.5
-171	-81	100	100	41.5
-169	-81	100	100	41.5
-167	-81	100	100	41.5
-165	-81	100	100	41.5
-163	-81	100	100	41.5
-161	-81	100	100	41.5
-159	-81	100	100	41.5
-157	-81	100	100	41.5
-155	-81	100	100	41.5
-153	-81	100	100	41.5
-151	-81	100	100	41.5
-149	-81	100	100	41.5
-147	-81	100	100	41.5
-145	-81	100	100	41.5
-143	-81	100	100	41.5
-141	-81	100	100	41.5
-139	-81	100	100	41.5
-137	-81	100	100	41.5
-135	-81	100	100	41.5
-133	-81	100	100	41.5
-131	-81	100	100	41.5
-129	-81	100	100	41.5
-127	-81	100	100	41.5
-125	-81	100	100	41.5
-123	-81	100	100	41.5
-121	-81	100	100	41.5
-119	-81	100	100	41.5
-117	-81	100	100	41.5
-115	-81	100	100	41.5
-113	-81	100	100	41.5
-111	-81	100	100	41.5
-109	-81	100	100	41.5
-107	-81	100	100	41.5
-105	-81	100	100	41.5
-103	-81	100	100	41.5
-101	-81	100	100	41.5
-99	-81	100	100	41.5
-97	-81	100	100	41.5
-95	-81	100	100	41.5
-93	-81	100	100	41.5
-91	-81	100	100	41.5
-89	-81	100	100	41.5
-87	-81	100	100	41.5
-85	-81	100	100	41.5
-83	-81	100	100	41.5
-81	-81	100	100	41.5
-79	-81	100	100	41.5
-77	-81	100	100	41.5
-75	-81	100	100	41.5
-73	-81	100	100	41.5
-71	-81	100	100	41.5
-69	-81	100	100	41.5
-67	-81	100	100	41.5
-65	-81	100	100	41.5
-63	-81	100	100	41.5
-61	-81	100	100	41.5
-59	-81	100	100	41.5
-57	-81	100	100	41.5
-55	-81	100	100	41.5
-53	-81	100	100	41.5
-51	-81	65	65	41.5
-49	-81	65	65	41.5
-47	-81	65	65	41.5
-45	-81	65	65	41.5
-43	-81	65	65	41.5
-41	-81	65	65	41.5
-39	-81	65	65	41.5
-37	-81	65	65	41.5
-35	-81	65	65	41.5
-33	-81	65	65	41.5
-31	-81	65	65	41.5
-29	-81	65	65	41.5
-27	-81	65	65	41.5
-25	-81	65	65	41.5
-23	-81	65	65	41.5
-21	-81	65	65	41.5
-19	-81	65	65	41.5
-17	-81	65	65	41.5
-15	-81	65	65	41.5
-13	-81	65	65	41.5
-11	-81	65	65	41.5
-9	-81	65	65	41.5
-7	-81	65	65	41.5
-5	-81	65	65	41.5
-3	-81	65	65	41.5
-1	-81	65	65	41.5
1	-81	65	65	41.5
3	-81	65	65	41.5
5	-81	65	65	41.5
7	-81	65	65	41.5
9	-81	65	65	41.5
11	-81	65	65	41.5
13	-81	65	65	41.5
15	-81	65	65	41.5
17	-81	65	65	41.5
19	-81	65	65	41.5
21	-81	65	65	41.5
23	-81	65	65	41.5
25	-81	65	65	41.5
27	-81	65	65	41.5
29	-81	65	65	41.5
31	-81	65	65	41.5
33	-81	65	65	41.5
35	-81	65	65	41.5
37	-81	65	65	41.5
39	-81	65	65	41.5
41	-81	65	65	41.5
43	-81	65	65	41.5
